Ask,AVolume,Bid,BVolume,Exchange,Ticker,TimeStamp,Spread
0.082284,5500,0.082197,6131.3,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,8.70E-05
0.0823,1519.87,0.08219,1115.61,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.00011
0.082325,803.33,0.082145,6022.54,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.00018
0.082363,6115.47,0.082144,2823.52,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000219
0.082382,1906.83,0.082116,80.2,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000266
0.082412,7281.99,0.082103,12692.85,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000309
0.082424,6015.06,0.082102,1267.32,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000322
0.082427,6073.05,0.082092,2995.8,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000335
0.082433,2000,0.08209,4883.6,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000343
0.08244,1115.25,0.082086,1771.41,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000354
0.082459,24199,0.082085,1435.47,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000374
0.082464,14780.41,0.082081,2000,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000383
0.082474,6186.03,0.082079,4879.04,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000395
0.082491,204785.94,0.082073,1569.04,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000418
0.082493,403746.1,0.082069,32483,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000424
0.082507,484.88,0.08205,404412.14,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000457
0.082512,586474.47,0.082044,24339.19,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,0.000468
0.082255,738.3895,0.08224,28714.2818,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,1.50E-05
0.082354,3000.0031,0.082236,64389.571,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000118
0.082356,3000.0008,0.082224,23340.2056,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000132
0.082358,3000.0048,0.082211,27679.3174,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000147
0.08236,3000.0024,0.082155,25436.5599,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000205
0.082362,4609.1347,0.082154,1922.2195,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000208
0.082364,12129.3018,0.082126,3000.0029,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000238
0.082369,3000.0006,0.082124,3000.0013,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000245
0.082372,6435,0.082122,3000.0036,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.00025
0.082374,4212.45,0.08212,3000.0023,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000254
0.082379,6435,0.082118,5186.0452,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000261
0.082384,3000.0031,0.082116,13647.4876,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000268
0.082393,3462.9804,0.082114,3000.0001,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000279
0.082394,32212.2537,0.082113,6435,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000281
0.082395,3223.737,0.082106,7495.8808,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000289
0.082396,3000.004,0.082096,12995.3017,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.0003
0.082404,19774.3343,0.082093,3000.0034,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000311
0.082414,97926.9727,0.08209,3000.0042,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000324
0.082416,464286.2537,0.082086,9372.5542,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.00033
0.082418,3000.0008,0.082076,20055.87,Bitget,DOGE/USDT,2022-11-09T11:12:23.803Z,0.000342
0.082369,1713,0.082287,848,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,8.20E-05
0.082379,819,0.082256,1259,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000123
0.082385,469,0.08218,1477,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000205
0.082387,1165,0.082178,1541,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000209
0.082389,783,0.082177,483,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000212
0.082395,1236,0.082175,858,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.00022
0.082441,60871,0.082163,161861,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000278
0.082487,124137,0.082094,144962,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000393
0.082541,155726,0.082039,149352,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000502
0.082583,39095,0.081994,91517,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000589
0.082611,55903,0.081944,70734,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000667
0.082652,108776,0.081899,158548,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000753
0.082659,40518,0.081842,158234,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000817
0.082704,59001,0.081801,45891,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.000903
0.082719,44582,0.081789,99721,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.00093
0.08276,153159,0.081734,147574,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.001026
0.082801,169221,0.081723,130893,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.001078
0.082842,152467,0.081682,47456,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.00116
0.082892,46589,0.08166,2448,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.001232
0.082948,41752,0.081659,110814,BitMart,DOGE/USDT,2022-11-09T11:12:34.988Z,0.001289
0.082553,44.14,0.082546,54.36,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,7.00E-06
0.082569,12.43,0.082528,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,4.10E-05
0.082586,347.63,0.082527,5500,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,5.90E-05
0.08261,307.2,0.082523,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,8.70E-05
0.082617,1517.21,0.082508,803.33,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000109
0.082618,12.86,0.082501,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000117
0.08262,204785.94,0.0825,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.00012
0.082632,1000,0.082482,6816.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.00015
0.082633,586474.47,0.082479,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000154
0.082637,35.14,0.082478,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000159
0.082643,27.28,0.082469,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000174
0.082659,5920.66,0.082461,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000198
0.082673,57.94,0.082458,32747.52,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000215
0.082678,539,0.082457,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000221
0.082696,403746.1,0.082453,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000243
0.082698,17.45,0.082446,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000252
0.0827,1906.76,0.082445,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000255
0.082723,662.59,0.082444,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000279
0.082727,503.47,0.082443,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000284
0.082736,26.7,0.082439,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:12:44.573Z,0.000297
0.082665,3000.0023,0.082445,3000.0008,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.00022
0.082667,3000.0045,0.082443,3000.0004,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000224
0.082669,3000.0011,0.082441,3000.0025,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000228
0.082671,3000.0002,0.082439,3000.001,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000232
0.082673,3000.0024,0.082437,3000.0005,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000236
0.082675,3676.662,0.082435,3619.2086,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.00024
0.082685,3324.915,0.082425,9419.7763,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.00026
0.08269,3000.0021,0.082417,3528.2412,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000273
0.082695,131601.195,0.082416,3598.6401,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000279
0.082705,17227.485,0.082415,4580.1613,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.00029
0.08271,3000.004,0.082405,12333.9446,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000305
0.082715,4281.0075,0.082395,8727.9103,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.00032
0.082722,6435,0.082385,26582.4881,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000337
0.082725,26377.3293,0.082381,22229.3706,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000344
0.082726,3000.0043,0.082378,483138.1412,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000348
0.082728,6435,0.082377,4455,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000351
0.08273,3000.0032,0.082375,11414.7805,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000355
0.082732,518377.6358,0.08237,3000.001,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000362
0.082733,26367.0759,0.082365,11983.1996,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000368
0.082735,35767.3976,0.082362,9603,Bitget,DOGE/USDT,2022-11-09T11:12:56.185Z,0.000373
0.082837,1648,0.082789,661,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,4.80E-05
0.082839,963,0.082783,1648,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,5.60E-05
0.082841,477,0.082781,1305,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,6.00E-05
0.082842,1130,0.082779,1691,BitMart,DOGE/USDT,2022-11-09T11:13:07.050Z,6.30E-05
